epoch,temperature,currentCost,bestCost,acceptedWorse,acceptedBetter
111,28807.7,7.01847e+07,6.88498e+07,230245,229145
112,28663.7,6.99368e+07,6.88498e+07,229754,229162
113,28520.4,7.00659e+07,6.88498e+07,229441,229344
114,28377.8,6.97224e+07,6.88498e+07,229018,229660
115,28235.9,7.05326e+07,6.88498e+07,229026,229739
116,28094.7,7.0421e+07,6.88498e+07,228892,229454
117,27954.2,6.99696e+07,6.88498e+07,228751,229512
118,27814.4,7.02427e+07,6.88498e+07,229159,229043
119,27675.4,6.96896e+07,6.88498e+07,228941,229048
120,27537,6.97362e+07,6.88498e+07,228962,228451
121,27399.3,7.01541e+07,6.88498e+07,228520,228749
122,27262.3,7.08818e+07,6.88498e+07,228778,228647
123,27126,6.97158e+07,6.86963e+07,228221,228519
124,26990.4,6.99164e+07,6.86963e+07,228296,228217
125,26855.4,7.05901e+07,6.86963e+07,228416,227614
126,26721.1,7.06861e+07,6.86963e+07,228194,227923
127,26587.5,7.02362e+07,6.86963e+07,227743,228218
128,26454.6,7.02723e+07,6.86963e+07,228364,227487
129,26322.3,7.00446e+07,6.86963e+07,227725,227698
130,26190.7,6.95468e+07,6.86963e+07,227552,227711
131,26059.8,7.00865e+07,6.868e+07,227441,227647
132,25929.5,6.95244e+07,6.868e+07,227853,226701
133,25799.8,6.95814e+07,6.868e+07,227275,227150
134,25670.8,6.97358e+07,6.82618e+07,227260,226714
135,25542.5,6.97138e+07,6.82618e+07,227069,227132
136,25414.8,6.95465e+07,6.82618e+07,227089,226794
137,25287.7,6.93552e+07,6.82618e+07,226805,226707
138,25161.2,7.00684e+07,6.82518e+07,227083,226219
139,25035.4,7.03103e+07,6.82518e+07,226575,226316
140,24910.3,6.98033e+07,6.82518e+07,225787,227028
141,24785.7,6.89041e+07,6.82518e+07,226762,226115
142,24661.8,6.91461e+07,6.82518e+07,226614,225575
143,24538.5,6.95029e+07,6.82518e+07,226409,226145
144,24415.8,6.88826e+07,6.82518e+07,225809,226015
145,24293.7,6.9365e+07,6.82518e+07,225923,225674
146,24172.2,6.90877e+07,6.82518e+07,225755,225526
147,24051.4,6.96922e+07,6.82518e+07,225528,225478
148,23931.1,6.92291e+07,6.82518e+07,225348,225656
149,23811.5,6.95141e+07,6.82188e+07,225616,225220
150,23692.4,6.88967e+07,6.82188e+07,225690,224647
151,23573.9,6.95283e+07,6.82188e+07,225125,225076
152,23456.1,6.89033e+07,6.80093e+07,224635,224721
153,23338.8,6.91616e+07,6.80093e+07,224913,224202
154,23222.1,6.9037e+07,6.80093e+07,224358,224761
155,23106,6.87728e+07,6.80093e+07,224324,224528
156,22990.5,6.91729e+07,6.80093e+07,224722,224324
157,22875.5,6.97707e+07,6.80093e+07,224651,223651
158,22761.1,6.94897e+07,6.80093e+07,224343,223887
159,22647.3,6.93836e+07,6.80093e+07,223369,224285
160,22534.1,6.95232e+07,6.80093e+07,223749,223998
161,22421.4,6.89536e+07,6.80093e+07,223555,223924
162,22309.3,6.90865e+07,6.78563e+07,223617,223293
163,22197.8,6.88284e+07,6.78563e+07,223351,223076
164,22086.8,6.87015e+07,6.76625e+07,223530,223064
165,21976.3,6.92211e+07,6.76625e+07,223366,223097
166,21866.5,6.96415e+07,6.75389e+07,223116,222838
167,21757.1,6.88394e+07,6.75389e+07,222987,223215
168,21648.3,6.87661e+07,6.75389e+07,222974,222861
169,21540.1,6.90197e+07,6.75389e+07,222491,222654
170,21432.4,6.85593e+07,6.74697e+07,222301,222228
171,21325.2,6.87604e+07,6.74697e+07,222552,222202
172,21218.6,6.89541e+07,6.74697e+07,222153,221914
173,21112.5,6.85449e+07,6.74697e+07,222384,221832
174,21006.9,6.83391e+07,6.74697e+07,221669,221609
175,20901.9,6.86147e+07,6.7361e+07,221798,221476
176,20797.4,6.80147e+07,6.7361e+07,221439,221483
177,20693.4,6.87332e+07,6.71379e+07,221396,221130
178,20590,6.85275e+07,6.71379e+07,221298,221423
179,20487,6.8718e+07,6.71379e+07,221334,221255
180,20384.6,6.89041e+07,6.70615e+07,220984,220714
181,20282.6,6.90371e+07,6.70615e+07,220859,220609
182,20181.2,6.8689e+07,6.70615e+07,220993,220504
183,20080.3,6.84991e+07,6.70615e+07,220498,220716
184,19979.9,6.90248e+07,6.70615e+07,220242,220493
185,19880,6.83839e+07,6.69754e+07,219934,219999
186,19780.6,6.87265e+07,6.69754e+07,220338,220362
187,19681.7,6.83956e+07,6.69754e+07,219940,220171
188,19583.3,6.77705e+07,6.69754e+07,219906,219787
189,19485.4,6.82558e+07,6.69754e+07,220004,218906
190,19388,6.80232e+07,6.69754e+07,219183,219168
191,19291,6.81193e+07,6.69754e+07,219497,219480
192,19194.6,6.84519e+07,6.68094e+07,219314,218611
193,19098.6,6.76237e+07,6.68094e+07,218988,218455
194,19003.1,6.83711e+07,6.68026e+07,218950,218405
195,18908.1,6.78721e+07,6.68026e+07,218441,219370
196,18813.5,6.79747e+07,6.66825e+07,218701,218346
197,18719.5,6.76105e+07,6.66825e+07,218092,218032
198,18625.9,6.81306e+07,6.66825e+07,218674,217695
199,18532.8,6.74601e+07,6.66825e+07,217920,218152
200,18440.1,6.77395e+07,6.66825e+07,218185,217480
201,18347.9,6.8377e+07,6.66196e+07,217513,217934
202,18256.2,6.80158e+07,6.66196e+07,216968,217764
203,18164.9,6.72803e+07,6.66196e+07,217029,217463
204,18074,6.80304e+07,6.66196e+07,217158,217047
205,17983.7,6.75952e+07,6.66196e+07,217146,216763
206,17893.8,6.74242e+07,6.66196e+07,216591,216871
207,17804.3,6.73326e+07,6.64623e+07,216563,216509
208,17715.3,6.76712e+07,6.64623e+07,216292,216293
209,17626.7,6.79768e+07,6.62491e+07,216548,216263
210,17538.6,6.73128e+07,6.62491e+07,216181,215629
211,17450.9,6.78087e+07,6.60905e+07,216210,215694
212,17363.6,6.80887e+07,6.60905e+07,215000,215599
213,17276.8,6.75314e+07,6.60905e+07,215518,215325
214,17190.4,6.69903e+07,6.60905e+07,215329,215051
