iteration,bestCost
320,6.35525e+07
321,6.3525e+07
322,6.3501e+07
323,6.3477e+07
324,6.34521e+07
325,6.34235e+07
326,6.33977e+07
327,6.3373e+07
328,6.33433e+07
329,6.3319e+07
330,6.32903e+07
331,6.32644e+07
332,6.32342e+07
333,6.321e+07
334,6.31857e+07
335,6.31608e+07
336,6.31321e+07
337,6.31099e+07
338,6.30884e+07
339,6.30633e+07
340,6.30376e+07
341,6.30151e+07
342,6.29911e+07
343,6.29656e+07
344,6.29386e+07
345,6.29102e+07
346,6.28824e+07
347,6.28594e+07
348,6.28344e+07
349,6.28127e+07
350,6.27779e+07
351,6.27529e+07
352,6.273e+07
353,6.27023e+07
354,6.26751e+07
355,6.26485e+07
356,6.26206e+07
357,6.2596e+07
358,6.25734e+07
359,6.25431e+07
360,6.25197e+07
361,6.2493e+07
362,6.24645e+07
363,6.24392e+07
364,6.24163e+07
365,6.23891e+07
366,6.23633e+07
367,6.23376e+07
368,6.23101e+07
369,6.2284e+07
370,6.22577e+07
371,6.22339e+07
372,6.2209e+07
373,6.21805e+07
374,6.21586e+07
375,6.21308e+07
376,6.20964e+07
377,6.20745e+07
378,6.20521e+07
379,6.20231e+07
380,6.19998e+07
381,6.19769e+07
382,6.19527e+07
383,6.19308e+07
384,6.19089e+07
385,6.18874e+07
386,6.18538e+07
387,6.18294e+07
388,6.17988e+07
389,6.17744e+07
390,6.17509e+07
391,6.17257e+07
392,6.16993e+07
393,6.16763e+07
394,6.16508e+07
395,6.16295e+07
396,6.16075e+07
397,6.15823e+07
398,6.15566e+07
399,6.15341e+07
400,6.15101e+07
401,6.14824e+07
402,6.14522e+07
403,6.14241e+07
404,6.14019e+07
405,6.13766e+07
406,6.13502e+07
407,6.13293e+07
408,6.13059e+07
409,6.12828e+07
410,6.12549e+07
411,6.12258e+07
412,6.12031e+07
413,6.11745e+07
414,6.11503e+07
415,6.11242e+07
416,6.11012e+07
417,6.10765e+07
418,6.10522e+07
419,6.10308e+07
420,6.10074e+07
421,6.09863e+07
422,6.09628e+07
423,6.09373e+07
424,6.09093e+07
425,6.08806e+07
426,6.0858e+07
427,6.08339e+07
428,6.08072e+07
429,6.07764e+07
430,6.07499e+07
431,6.07255e+07
432,6.07006e+07
433,6.0677e+07
434,6.0654e+07
435,6.06302e+07
436,6.06083e+07
437,6.05881e+07
438,6.0563e+07
439,6.05392e+07
440,6.05154e+07
